dataset,detector,video_name,true_label,n_frames,n_correct_frames,n_wrong_frames,frame_accuracy,avg_prob_fake,std_prob_fake,video_pred_by_avg,video_correct_by_avg,video_pred_by_majority,video_correct_by_majority
frames_cropped_faces_1src,FFD,1_7,fake,20,0,20,0.0,0.497801,0.0,real,0,real,0
frames_cropped_faces_1src,FFD,1_8,fake,20,4,16,0.2,0.497799,3e-06,real,0,real,0
frames_cropped_faces_1src,FFD,1_9,fake,20,0,20,0.0,0.4978,0.0,real,0,real,0
frames_cropped_faces_1src,FFD,Ali,real,20,9,11,0.45,0.497802,1e-06,real,1,fake,0
frames_cropped_faces_1src,FFD,Elizebeth,real,20,20,0,1.0,0.497795,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,Ganesh,real,20,0,20,0.0,0.497805,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,aji,real,20,0,20,0.0,0.497803,0.0,real,1,fake,0
frames_cropped_faces_1src,FFD,akbar,real,20,20,0,1.0,0.49779,2e-06,real,1,real,1
frames_cropped_faces_1src,FFD,akhil,real,20,0,20,0.0,0.497806,0.0,fake,0,fake,0
frames_cropped_faces_1src,FFD,akshay,real,20,20,0,1.0,0.497797,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,alib,real,20,20,0,1.0,0.4978,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,ameen,real,20,20,0,1.0,0.497798,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,ammu,real,20,0,20,0.0,0.497811,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,anandu,real,20,0,20,0.0,0.497807,0.0,fake,0,fake,0
frames_cropped_faces_1src,FFD,anish,real,20,16,4,0.8,0.497801,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,ansu,real,20,20,0,1.0,0.4978,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,arnold,real,20,0,20,0.0,0.497803,0.0,fake,0,fake,0
frames_cropped_faces_1src,FFD,assif ,real,20,5,15,0.25,0.497804,2e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,baptist,real,20,0,20,0.0,0.497808,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,binisha ,real,20,0,20,0.0,0.497806,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,chettai,real,20,20,0,1.0,0.497801,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,chris,real,20,0,20,0.0,0.497805,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,christian,real,20,7,13,0.35,0.497803,1e-06,real,1,fake,0
frames_cropped_faces_1src,FFD,col,real,20,16,4,0.8,0.497799,3e-06,real,1,real,1
frames_cropped_faces_1src,FFD,darwish,real,20,20,0,1.0,0.497792,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,deeps,real,20,20,0,1.0,0.497801,0.0,real,1,real,1
frames_cropped_faces_1src,FFD,denna,real,20,0,20,0.0,0.497806,0.0,fake,0,fake,0
frames_cropped_faces_1src,FFD,fathima,real,20,3,17,0.15,0.497803,1e-06,real,1,fake,0
frames_cropped_faces_1src,FFD,jelvin,real,20,16,4,0.8,0.497801,2e-06,real,1,real,1
frames_cropped_faces_1src,FFD,jennifer,real,20,0,20,0.0,0.497812,0.0,fake,0,fake,0
frames_cropped_faces_1src,FFD,jissa,real,20,0,20,0.0,0.497806,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,kevin,real,20,19,1,0.95,0.497799,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,lena,real,20,20,0,1.0,0.497794,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,liya,real,20,18,2,0.9,0.497802,0.0,real,1,real,1
frames_cropped_faces_1src,FFD,liyamom,real,20,0,20,0.0,0.497811,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,malu,real,20,20,0,1.0,0.497799,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,nevin,real,20,6,14,0.3,0.497803,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,niranjan,real,20,20,0,1.0,0.497799,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,praveen,real,20,20,0,1.0,0.497797,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,pushpan,real,20,0,20,0.0,0.497805,0.0,fake,0,fake,0
frames_cropped_faces_1src,FFD,rahul,real,20,19,1,0.95,0.4978,3e-06,real,1,real,1
frames_cropped_faces_1src,FFD,raju,real,20,20,0,1.0,0.4978,0.0,real,1,real,1
frames_cropped_faces_1src,FFD,rasee,real,20,0,20,0.0,0.497804,0.0,fake,0,fake,0
frames_cropped_faces_1src,FFD,roshan,real,20,0,20,0.0,0.497811,0.0,fake,0,fake,0
frames_cropped_faces_1src,FFD,sachin,real,20,9,11,0.45,0.497803,1e-06,real,1,fake,0
frames_cropped_faces_1src,FFD,salim,real,20,20,0,1.0,0.497801,0.0,real,1,real,1
frames_cropped_faces_1src,FFD,seethu,real,20,0,20,0.0,0.497805,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,shanty,real,20,0,20,0.0,0.497804,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,subu,real,20,0,20,0.0,0.497808,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,teggy,real,20,0,20,0.0,0.497806,1e-06,fake,0,fake,0
frames_cropped_faces_1src,FFD,thomas,real,20,20,0,1.0,0.497795,1e-06,real,1,real,1
frames_cropped_faces_1src,FFD,umesh,real,20,12,8,0.6,0.497802,0.0,real,1,real,1
frames_cropped_faces_1src,FFD,yad,real,20,20,0,1.0,0.497797,1e-06,real,1,real,1
